time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_meas1,tau_meas2
1.333405971527099609e-01,-1.438106992281973362e-04,3.834952076431363821e-04,-2.780998125672340393e-02,-2.575438022613525391e-01,-5.669538586516864598e-05,-4.355931014288216829e-04
1.366739273071289062e-01,-1.438106992281973362e-04,7.669904152862727642e-04,-2.210396528244018555e-02,-2.345611527562141418e-02,4.277556217857636511e-05,3.792363859247416258e-04
1.400072574615478516e-01,4.793690095539204776e-05,0.000000000000000000e+00,2.243139781057834625e-02,-3.947243988513946533e-01,8.756275929044932127e-05,-1.819660101318731904e-04
1.433405876159667969e-01,-4.793690095539204776e-05,-7.669904152862727642e-04,-1.318672485649585724e-02,-5.839477181434631348e-01,-2.056423691101372242e-04,-1.752657553879544139e-04
1.466739177703857422e-01,3.355583176016807556e-04,1.150485593825578690e-03,6.259548664093017578e-02,4.179067909717559814e-01,-2.115936804329976439e-04,-3.258784417994320393e-04
1.500072479248046875e-01,2.396845084149390459e-04,7.669904152862727642e-04,2.283147722482681274e-02,3.181688189506530762e-01,-1.310159568674862385e-04,3.091870166826993227e-04
1.533408164978027344e-01,3.355583176016807556e-04,-3.834952076431363821e-04,3.340568765997886658e-02,-2.435220927000045776e-01,-1.730746444081887603e-04,3.302539989817887545e-04
1.566741466522216797e-01,2.876213984563946724e-04,-7.669904152862727642e-04,1.741132140159606934e-02,-3.564464747905731201e-01,-1.693542581051588058e-04,-8.585426839999854565e-04
1.600074768066406250e-01,2.396845084149390459e-04,0.000000000000000000e+00,5.725081078708171844e-03,1.485922932624816895e-01,-2.441766810079570860e-05,-5.863654077984392643e-04
1.633408069610595703e-01,1.917476038215681911e-04,3.834952076431363821e-04,-3.820812795311212540e-03,1.112113967537879944e-01,3.148660471197217703e-04,-3.667905912152491510e-05
1.666741371154785156e-01,4.314320976845920086e-04,0.000000000000000000e+00,5.810469388961791992e-02,-1.008536219596862793e-01,2.485778823029249907e-04,-2.402907375653740019e-05
1.700074672698974609e-01,9.587380191078409553e-05,7.669904152862727642e-04,6.569633842445909977e-05,2.919224798679351807e-01,4.224351869197562337e-05,-4.067361587658524513e-04
1.733407974243164062e-01,-4.793690095539204776e-05,1.150485593825578690e-03,-2.194528095424175262e-02,3.136127591133117676e-01,-2.835200284607708454e-04,-7.145511335693299770e-04
1.766741275787353516e-01,1.917476038215681911e-04,1.150485593825578690e-03,5.218484625220298767e-02,2.507360279560089111e-01,-2.387622516835108399e-04,2.963573751912917942e-05
1.800074577331542969e-01,-4.793690095539204776e-05,1.150485593825578690e-03,2.841089386492967606e-03,2.077536731958389282e-01,2.620894520077854395e-04,-5.902434932067990303e-04
1.833407878875732422e-01,-4.314320976845920086e-04,0.000000000000000000e+00,-8.866088837385177612e-02,-2.684672474861145020e-01,-1.170153882412705570e-05,-5.808764253742992878e-04
1.866741180419921875e-01,4.793690095539204776e-05,0.000000000000000000e+00,2.439102903008460999e-02,-1.704919338226318359e-01,-9.602311911294236779e-05,-7.445289520546793938e-04
1.900074481964111328e-01,4.793690095539204776e-05,-7.669904152862727642e-04,1.513630803674459457e-02,-5.469439625740051270e-01,6.375530938385054469e-05,-4.530546357273124158e-05
1.933407783508300781e-01,1.438106992281973362e-04,0.000000000000000000e+00,2.474529296159744263e-02,-1.991471797227859497e-01,2.270486584166064858e-04,8.942031854530796409e-05
1.966741085052490234e-01,0.000000000000000000e+00,1.150485593825578690e-03,-2.080694958567619324e-02,4.922847151756286621e-01,-4.484592354856431484e-04,5.656884241034276783e-05
2.000074386596679688e-01,4.793690095539204776e-05,1.150485593825578690e-03,-1.647361367940902710e-02,1.293183118104934692e-01,-5.392282619141042233e-04,5.939280381426215172e-04
2.033407688140869141e-01,-9.587380191078409553e-05,3.834952076431363821e-04,-4.636184871196746826e-02,-3.021461889147758484e-02,-9.878202399704605341e-05,-2.177673741243779659e-04
2.066740989685058594e-01,4.793690095539204776e-05,7.669904152862727642e-04,1.424929243512451649e-03,1.392076611518859863e-01,1.210463087772950530e-04,-7.889858097769320011e-04
2.100074291229248047e-01,-1.917476038215681911e-04,3.834952076431363821e-04,-4.691595584154129028e-02,-2.425139211118221283e-02,-1.228288056154269725e-05,-6.844827439635992050e-04
2.133407592773437500e-01,-1.917476038215681911e-04,-3.834952076431363821e-04,-4.004063457250595093e-02,-3.881791830062866211e-01,-5.319845149642787874e-05,-4.245415766490623355e-05
2.166740894317626953e-01,0.000000000000000000e+00,7.669904152862727642e-04,9.886542335152626038e-03,1.149828061461448669e-01,-2.696300216484814882e-04,-2.051327464869245887e-04
2.200078964233398438e-01,9.587380191078409553e-05,-7.669904152862727642e-04,2.916923537850379944e-02,-5.783510208129882812e-01,1.877950999187305570e-04,-1.046954857883974910e-04
2.233412265777587891e-01,-1.438106992281973362e-04,3.834952076431363821e-04,-3.502749279141426086e-02,5.316324532032012939e-02,-1.831547124311327934e-04,5.042825359851121902e-04
2.266747951507568359e-01,0.000000000000000000e+00,-1.150485593825578690e-03,-4.950654692947864532e-03,-3.326889276504516602e-01,-1.958490320248529315e-04,5.873381451237946749e-05
2.300081253051757812e-01,1.438106992281973362e-04,-3.834952076431363821e-04,1.251568365842103958e-02,-2.265810370445251465e-01,2.309955743839964271e-04,-7.066302350722253323e-04
2.333414554595947266e-01,2.396845084149390459e-04,-3.834952076431363821e-04,3.425670415163040161e-02,-2.249147593975067139e-01,1.012237626127898693e-04,-8.436478092335164547e-04
2.366747856140136719e-01,2.876213984563946724e-04,-3.834952076431363821e-04,4.329553246498107910e-02,-2.025187462568283081e-01,-1.719435822451487184e-04,1.695071696303784847e-04
2.400081157684326172e-01,0.000000000000000000e+00,7.669904152862727642e-04,-2.905384264886379242e-02,2.728890776634216309e-01,-3.584526129998266697e-04,2.311802672920748591e-04
2.433414459228515625e-01,1.917476038215681911e-04,3.834952076431363821e-04,1.841037906706333160e-02,-2.501988969743251801e-02,5.942047664575511590e-06,-2.619310107547789812e-04
2.466747760772705078e-01,-2.396845084149390459e-04,3.834952076431363821e-04,-8.667986840009689331e-02,-1.776524935849010944e-03,-7.434695726260542870e-05,-6.893393001519143581e-04
2.500081062316894531e-01,4.793690168298780918e-04,-3.834952076431363821e-04,9.016207605600357056e-02,-4.125375151634216309e-01,-3.357596579007804394e-04,-6.486377242254093289e-05
2.533414363861083984e-01,2.876213984563946724e-04,7.669904152862727642e-04,4.405312612652778625e-02,2.028325498104095459e-01,-3.357596579007804394e-04,-6.486377242254093289e-05
2.566747665405273438e-01,1.438106992281973362e-04,3.834952076431363821e-04,5.815843865275382996e-02,1.222894638776779175e-01,2.286011440446600318e-04,-7.187294540926814079e-04
2.600080966949462891e-01,-4.793690095539204776e-05,0.000000000000000000e+00,-3.855976462364196777e-02,-1.003576442599296570e-01,-7.666415185667574406e-04,-2.508769102860242128e-04
2.633416652679443359e-01,9.587380191078409553e-05,3.834952076431363821e-04,-4.890173207968473434e-03,1.186486557126045227e-01,4.666258519137045369e-06,-5.970326019451022148e-04
2.666749954223632812e-01,9.587380191078409553e-05,0.000000000000000000e+00,-4.065128508955240250e-03,-4.815902188420295715e-02,2.863495901692658663e-04,-2.650248352438211441e-04
2.700083255767822266e-01,4.314320976845920086e-04,3.834952076431363821e-04,7.986687123775482178e-02,4.543635621666908264e-02,-1.727956550894305110e-04,-3.984416252933442593e-04
2.733416557312011719e-01,9.587380191078409553e-05,0.000000000000000000e+00,-3.162351786158978939e-04,-1.893308758735656738e-02,-4.412062844494357705e-05,-2.503901487216353416e-04
2.766749858856201172e-01,1.917476038215681911e-04,1.150485593825578690e-03,2.225617505609989166e-02,3.869933485984802246e-01,9.714824409456923604e-05,-3.290501772426068783e-04
2.800083160400390625e-01,4.793690095539204776e-05,1.150485593825578690e-03,-1.316048577427864075e-02,4.031685888767242432e-01,-5.086035816930234432e-04,-1.757514692144468427e-04
